BOUND,CREATED_DT,DISTANCE,SPEED,STREET_NAME,multiline
N/A,2018/11/02,,60,DEERFOOT TR NE RAMP,"MULTILINESTRING ((-114.048515198985 51.126022055968, -114.048743773461 51.12605722446, -114.04887077615 51.126080571408, -114.048985560087 51.126103591619, -114.049002422184 51.126106973638, -114.049166587265 51.126141830264, -114.049334432091 51.126182925692, -114.049672985123 51.126279420672), (-114.04492077657 51.122622873163, -114.044843128388 51.122813229251, -114.044566769131 51.123459268207, -114.044385495488 51.123877844915, -114.044224286427 51.124248685187, -114.044173406368 51.124385610791, -114.044135818102 51.12450576663, -114.04411817696 51.124613342961, -114.044111633052 51.124725985243, -114.044120585368 51.124811198872, -114.044138406317 51.124892218197, -114.044167316925 51.124974631215, -114.044202738322 51.125059435696, -114.044251608757 51.125140443261, -114.044313786299 51.125220048777, -114.044369296524 51.125285686936, -114.044440337764 51.125355510124, -114.044502291565 51.125408279842, -114.044593287557 51.125471110414, -114.044682055745 51.125525559855, -114.044757063334 51.125567142274, -114.04487023013 51.125621581333, -114.04495010999 51.125657873171, -114.045321432356 51.125765846986), (-114.045321432356 51.125765846986, -114.045451000247 51.125792727773, -114.045592542055 51.125811938309, -114.045683068786 51.125822521508, -114.045746514103 51.125829939205, -114.045992796564 51.125849037222, -114.046172580637 51.125860405658, -114.046197256178 51.125861870209, -114.04651458531 51.125880704413, -114.046672371885 51.125888467903, -114.046970084255 51.125905756193, -114.047195767626 51.125917706017, -114.047456383903 51.125932611403, -114.047803117218 51.125954712281, -114.048050800806 51.125972069498, -114.048105429038 51.125977556771, -114.048271211145 51.125994209134, -114.048398405495 51.126008604664, -114.048515198985 51.126022055968))"
N/S,,0.2,30,31A ST SE,"MULTILINESTRING ((-113.988084146191 51.028306712064, -113.987451847192 51.028310524064, -113.987433039344 51.027273630621, -113.987427176633 51.026950414844))"
N/A,2018/10/29,,40,MCKNIGHT BV NE RAMP,"MULTILINESTRING ((-113.937096286268 51.095982914651, -113.936928848626 51.095966040767, -113.936741276553 51.095945405267, -113.936604355703 51.095931089699, -113.93641560067 51.095911302557, -113.936279983452 51.095896987318, -113.936188933435 51.095887411325, -113.936086786242 51.095876947312, -113.936009993651 51.095868729219, -113.935939146275 51.095859104755, -113.935869901204 51.095847076395, -113.935793413559 51.095830053859, -113.935736048924 51.095815233462, -113.935676082031 51.095797124089, -113.935635805113 51.095782084706, -113.935585405425 51.095761516488, -113.935547723085 51.095744054892, -113.935512970869 51.095725137677, -113.935476918306 51.095704028955, -113.935456574485 51.095691788199, -113.935427477759 51.095670409117, -113.935400555816 51.095647662104, -113.935377191652 51.095625864561, -113.935347672945 51.095594899555, -113.935315115448 51.095561467898, -113.935276160979 51.09552075826, -113.935246643834 51.095489793229, -113.935225314194 51.095467988691))"
E,2018/10/23,,70,COUNTRY HILLS BV NE,"MULTILINESTRING ((-113.971473635446 51.153973663983, -113.970928060765 51.153965938877, -113.970216799066 51.153975162133), (-113.97733004838 51.154121221036, -113.976668277994 51.154085573146, -113.976203094696 51.154067640547, -113.975658491226 51.154049689598, -113.975142252339 51.154031742145, -113.974529575677 51.154006636438, -113.973996314933 51.153995816136, -113.973630873935 51.153981787918), (-113.973630873935 51.153981787918, -113.973469203518 51.153975580926, -113.97198948697 51.153969289365, -113.971611847003 51.153975620474, -113.971473635446 51.153973663983), (-113.970216799066 51.153975162133, -113.970115509549 51.153975615443, -113.969801317632 51.153977020729))"
N/A,2018/10/30,,40,CROWCHILD TR NW RAMP,"MULTILINESTRING ((-114.134395590779 51.088763334917, -114.134428160027 51.088782002282, -114.134468185767 51.088803989037, -114.134504878253 51.088824406421, -114.134536215838 51.088843112929, -114.134555752508 51.088854774321, -114.13459745178 51.088879382292, -114.134644166758 51.088910279038, -114.134667690959 51.088925617089, -114.134710639216 51.088953618979, -114.134754859508 51.088986092646, -114.134774884736 51.089001282783, -114.134792578206 51.089012764668), (-114.131876952955 51.087295040553, -114.132056702624 51.087469234607, -114.132154415446 51.087566006793, -114.132208008161 51.087619183939, -114.132239371761 51.087645622154, -114.132273417621 51.087672620978, -114.132304766832 51.087693989915, -114.132354916484 51.087725476114, -114.132426547091 51.087766512862, -114.132615150796 51.087872432048, -114.132727067924 51.087933700911, -114.132906002668 51.088030251677, -114.133034715428 51.088097533219, -114.133115286977 51.088138560268, -114.133196753833 51.088180148995, -114.133316339697 51.088241644983, -114.133456887827 51.088310767131, -114.133545512859 51.088354037501, -114.133656999191 51.08840763957, -114.133757259504 51.0884554021, -114.133871842328 51.088510471132, -114.13401208897 51.088579413162, -114.134108774565 51.088627743139, -114.134206343936 51.088672129152, -114.13428763982 51.088710207745, -114.13434941064 51.08874055333, -114.134395590779 51.088763334917), (-114.134792578206 51.089012764668, -114.134844168468 51.089050657767, -114.134888597082 51.089086965238, -114.134933027299 51.089123799484, -114.134985854613 51.089172217096, -114.135033550498 51.089216739095, -114.135067101993 51.089250950981, -114.135109881056 51.089295163989, -114.135149166107 51.089343876753, -114.13517099463 51.089372833314, -114.135198707801 51.089412320756, -114.135211319679 51.089435491428, -114.135232350334 51.089478149155, -114.1352441275 51.089511702957, -114.135253430404 51.089547524117, -114.135257708083 51.089580188524, -114.135256959211 51.089610224774, -114.135256194856 51.089636910591, -114.135252919529 51.089660627328, -114.135243811886 51.08969225363, -114.135228029069 51.0897286306, -114.135206384709 51.08976290627, -114.135173117875 51.08980741303, -114.135138922798 51.089839069223, -114.135102210655 51.089868620237, -114.135064648059 51.089892902478, -114.135020399579 51.089918773711, -114.134969451394 51.089941490096, -114.134925173684 51.089957349533, -114.134884232795 51.089970570232, -114.134836598253 51.089982217353, -114.134791464061 51.089991227599, -114.134720684164 51.090000719562, -114.134676369686 51.090004459076, -114.13464124737 51.090005027221, -114.134601939559 51.090004544786, -114.134556773191 51.090002489597, -114.134505987827 51.089997788902, -114.134450768158 51.089989421004, -114.134400556933 51.089978413351, -114.13435452663 51.089966873178, -114.134316180047 51.08995326283, -114.134258411344 51.089931197515, -114.134214869225 51.089912277508, -114.134157250719 51.089882885392, -114.134102802209 51.089851858885, -114.134067502922 51.089827714462))"
S,2018/10/23,,60,36 ST NE,"MULTILINESTRING ((-113.981717501038 51.128867655439, -113.981740910696 51.125273950004))"
N/A,2018/10/31,,30,ANDERSON RD SE RAMP,"MULTILINESTRING ((-114.070927189197 50.952692367624, -114.070932919506 50.952828158929, -114.070939166534 50.952994831941, -114.070949355548 50.953109772109, -114.070956186523 50.953213090404, -114.070962287024 50.953289995986, -114.070975117668 50.953389936731, -114.070977237985 50.953454182488, -114.070972667026 50.953519974075, -114.070970072557 50.953556519496, -114.070955475655 50.953611774745, -114.070936860789 50.953658597232, -114.070919153579 50.953684612099, -114.070901579841 50.9537104327, -114.070867633125 50.953753369169, -114.070825764962 50.953792006079, -114.070781772768 50.9538266132, -114.070732440015 50.953859116313, -114.070684583892 50.953885550345, -114.070621228296 50.953913001496, -114.070567871065 50.953932854622, -114.07050049952 50.953952294558, -114.070440598828 50.953966148136, -114.070366542583 50.953978422601, -114.070298483644 50.95398478886, -114.070216615922 50.953987335493, -114.070152547947 50.953985264966, -114.070107831717 50.953982762065, -114.0700426399 50.953974423513, -114.069968546808 50.953962237197, -114.069883766812 50.953943732852, -114.069756844631 50.953915525678))"
N,,4.65,60,JAMES MCKEVITT RD SW,"MULTILINESTRING ((-114.076794143098 50.921281469524, -114.076870288762 50.921280192297, -114.076968184804 50.921281114905, -114.077305607013 50.921280562978, -114.077596166037 50.92128069929, -114.077892452602 50.921280831058, -114.078168431791 50.92128097567, -114.078466800584 50.921281105486, -114.078814118714 50.921281200612, -114.079047918641 50.921281371607, -114.079293697048 50.921281534, -114.07949313032 50.921281727435, -114.07985346351 50.921280823516, -114.080117468196 50.921281629772, -114.080436144654 50.921281081659, -114.080689733962 50.921281893796, -114.080826162038 50.921282458405, -114.080993010937 50.921281940947), (-114.080993010937 50.921281940947, -114.081047682617 50.921282187095, -114.081147914233 50.921282344929, -114.081290895052 50.921282245479, -114.081381786526 50.921282408715, -114.081481036283 50.921282290058), (-114.081481036283 50.921282290058, -114.081611510813 50.921282117133, -114.082105281914 50.92128311049, -114.082391900055 50.921282574183, -114.082822624156 50.921283608975, -114.083090701161 50.921283752952, -114.083376260288 50.921283549407, -114.083787912405 50.921284259829, -114.084137577934 50.921284678156, -114.084446977993 50.921284789237, -114.084721412009 50.921284590448, -114.08497200549 50.921285078114, -114.085540476664 50.921285332814, -114.085897030333 50.921285740825, -114.086219146858 50.921286508505, -114.086551326411 50.921285927439, -114.087040328886 50.921286233713, -114.087415953978 50.92128662287, -114.087763499711 50.9212866975, -114.08799078262 50.921287530631, -114.088248793511 50.921287335926, -114.088523225455 50.921286792879, -114.08866732923 50.92128634912, -114.08903077026 50.921287076759, -114.089245225027 50.921286869002), (-114.089245225027 50.921286869002, -114.089315259715 50.921286812758, -114.089414870077 50.921287097022, -114.089507914484 50.921287025738, -114.089588116011 50.921287144932, -114.089713983784 50.921286992559), (-114.089713983784 50.921286992559, -114.089796466416 50.921286984897, -114.08999540057 50.921287192244, -114.090214313204 50.92128720402, -114.090496301291 50.921287165621, -114.090805690384 50.921287466631, -114.091060564048 50.92128744885, -114.09124665463 50.921287484281, -114.091456147121 50.921287320393, -114.091630535502 50.921287544176, -114.091876847368 50.92128771113, -114.09205180324 50.921286490954, -114.092234753772 50.921286707984, -114.092411142248 50.921287830711, -114.092568119382 50.921287526577, -114.092704255699 50.921287194729), (-114.092704255699 50.921287194729, -114.092769852508 50.921286965531, -114.092921374113 50.921286845055, -114.093266997205 50.921287054068, -114.093551243542 50.921287553974, -114.093792910927 50.921287360112, -114.094041482076 50.92128716019, -114.094167087541 50.921287416765), (-114.094167087541 50.921287416765, -114.094382118203 50.921287855374, -114.094549752911 50.921288447045, -114.094682092608 50.921287855257, -114.094823443932 50.921287975196), (-114.094823443932 50.921287975196, -114.094887744561 50.921288214237, -114.094986323062 50.92128813409, -114.095145116065 50.921288341936, -114.095309768236 50.921287534315, -114.095407810668 50.921285433315, -114.095526095895 50.921280957617, -114.095616139547 50.921276168704, -114.095751468231 50.921266963604, -114.095876670246 50.921257094215, -114.096029035282 50.921241138652, -114.096139842421 50.921227912293, -114.096230935217 50.921215375422, -114.096335877568 50.921199795652, -114.096438683643 50.921182869962, -114.09653403051 50.921165614124, -114.096636298225 50.921145657302, -114.096735899108 50.921125030152, -114.096871182373 50.921094268644, -114.096965981521 50.921070950101, -114.097046932504 50.92105000015, -114.097124685437 50.921028716579, -114.097185395781 50.921011151891, -114.097244506723 50.920993925626, -114.097315329467 50.920971637231, -114.09737656808 50.92095238819, -114.097460700465 50.920924026699, -114.09752938962 50.920900392365, -114.097608725214 50.920871697652, -114.097692315495 50.920839293677, -114.097756205693 50.920814316533, -114.097836065876 50.920781579353, -114.097916986276 50.920746483172, -114.097984062164 50.920716114669, -114.098046344915 50.920687096843, -114.098118206591 50.920652008128, -114.098224664116 50.920598366526, -114.098293858073 50.920562269478, -114.098398705915 50.920502902487, -114.098460439139 50.920466475403, -114.098520042437 50.920430387205, -114.098586028718 50.920388903228, -114.098646158046 50.92035012024, -114.098703090754 50.920311001901, -114.098756297078 50.920273908521, -114.098819075718 50.920227711906, -114.098870678247 50.920188261772, -114.09894143042 50.92013363927, -114.099004197254 50.920082054001, -114.099059511423 50.920033843546, -114.099121735348 50.919977880578, -114.099163746457 50.919938775576, -114.099221706958 50.919882479052, -114.099272748898 50.919829894029, -114.099326973583 50.919771242569, -114.099374282606 50.919717650207, -114.099422646724 50.919659340811, -114.099460380487 50.919612828944, -114.099508733615 50.919549468079, -114.09955601633 50.919483750047, -114.099596380593 50.919422416892, -114.09963514831 50.919361421307, -114.099668065754 50.919306156389, -114.099704157961 50.919240447845, -114.09973387591 50.919183501825, -114.099768357114 50.91911206895, -114.099794338668 50.919052431824, -114.099817130946 50.918996502168, -114.099843090751 50.918926760366, -114.099871145622 50.91884051395, -114.099889658042 50.918776504192, -114.09990814517 50.918700706855, -114.099923446667 50.918630300805, -114.099933442938 50.918571013544, -114.09994287698 50.918497581106, -114.099950713909 50.918425497624, -114.099954271158 50.918344660713, -114.099955752813 50.918290096853, -114.099955232572 50.918047257667, -114.099956879541 50.917820921233, -114.09995659301 50.917680534695), (-114.09995659301 50.917680534695, -114.0999567407 50.917586167246), (-114.0999567407 50.917586167246, -114.099956914211 50.917528414872, -114.099956231804 50.917455500808, -114.099956649169 50.917382125518, -114.099957042218 50.917282795412), (-114.099957042218 50.917282795412, -114.099956440476 50.917212349013, -114.09995609065 50.917041749146, -114.099957107985 50.916941073605, -114.099956709177 50.916744953148, -114.09995771957 50.916640375977, -114.099957386074 50.916484700269, -114.099958391445 50.916377782119, -114.099959378744 50.916248488934, -114.099959098133 50.916103559738, -114.099958851732 50.915976589703, -114.099959713311 50.915802555506, -114.099960619522 50.915644710342, -114.099960407196 50.915545596483, -114.099960060695 50.91537654553, -114.09996089576 50.915190803744, -114.099960697278 50.915083545882, -114.09996161137 50.914929386566, -114.099961400721 50.914831053919, -114.099962378509 50.914707294912, -114.099962042473 50.914550429786, -114.099963022969 50.914432585251, -114.099961429779 50.914311547894), (-114.099961429779 50.914311547894, -114.099961484567 50.914272066737, -114.099960573212 50.914211745934, -114.099962801691 50.914157354902, -114.099961763964 50.914084510323), (-114.099961763964 50.914084510323, -114.099961887127 50.913964093593), (-114.099961887127 50.913964093593, -114.099962075044 50.913912408479, -114.099961967751 50.913862322028, -114.099959655024 50.913781780453, -114.099961982487 50.913670045211), (-114.099961982487 50.913670045211, -114.099970366722 50.912971634828, -114.099968500827 50.912437836253, -114.099966634983 50.91190403763, -114.099964769192 50.911370239856, -114.099962904873 50.910836441134), (-114.099962904873 50.910836441134, -114.099962941723 50.91072286216, -114.099962978575 50.910609284084, -114.099963015426 50.910495705106, -114.099963019924 50.910479216647), (-114.099963019924 50.910479216647, -114.099965221034 50.910276037539, -114.099963922106 50.91018144646, -114.09995509205 50.910089272031, -114.099947361754 50.910006656566, -114.099934246193 50.90992982804, -114.099917908244 50.909858827754, -114.099903756612 50.909800799882, -114.099889657625 50.909767353168, -114.09986361725 50.909697353663, -114.099830015858 50.909626368125, -114.099795326567 50.909551286789, -114.09974442828 50.909465293809, -114.099683809676 50.90937453005, -114.099396081262 50.908946165301), (-114.099396081262 50.908946165301, -114.099144777317 50.908558693824), (-114.099144777317 50.908558693824, -114.099132487348 50.908535696289, -114.099085905388 50.908449017006, -114.099063228985 50.908400103068, -114.099026357337 50.908312732285, -114.098993907253 50.908229749328, -114.09896889851 50.908138954084, -114.098942825134 50.908054988498, -114.098923240159 50.90797852851, -114.098905771669 50.907881581331, -114.098893756244 50.907798775212, -114.098883816287 50.907690896166, -114.098881430778 50.907583694855, -114.098881218131 50.907483318669, -114.098874529496 50.905590384354), (-114.098874529496 50.905590384354, -114.098873101032 50.905322771794), (-114.098873101032 50.905322771794, -114.098873126599 50.905276443855, -114.098872515407 50.905237596993, -114.098872397044 50.905191113649), (-114.098872397044 50.905191113649, -114.098871812481 50.905170879561, -114.098871767794 50.90514978198, -114.098872046033 50.905125412682), (-114.098872046033 50.905125412682, -114.098872727678 50.905069984556, -114.098872499234 50.904966831344, -114.0988699257 50.904843943574, -114.098869140323 50.904745676868, -114.098869496085 50.904647820035), (-114.098869496085 50.904647820035, -114.098863287312 50.904559270663, -114.098854737142 50.904465464149, -114.098840980869 50.904374526239, -114.098815653777 50.904245057292, -114.098790392302 50.904131747722, -114.098750423292 50.903989078609, -114.098695862055 50.903825762002, -114.098631853864 50.903667917439, -114.09857945373 50.903547338984, -114.098519704226 50.9034284703, -114.098472638993 50.90334158164, -114.098377318543 50.903184424092, -114.098292499656 50.903056987403, -114.098241440297 50.902980970862), (-114.098241440297 50.902980970862, -114.098177206786 50.902894526241), (-114.098177206786 50.902894526241, -114.098140493449 50.902845782104, -114.098072113844 50.90276102203, -114.097976157267 50.902649779973, -114.09790339306 50.902571505235, -114.097794271746 50.902458002302, -114.097700895786 50.902365948711, -114.097559435251 50.902235811526, -114.097415776688 50.902112753794, -114.097262373238 50.901992472008, -114.097096150729 50.901867199567, -114.096924774935 50.901734814716, -114.096739021977 50.901591838768, -114.095463249542 50.900614500066), (-114.095463249542 50.900614500066, -114.095333182944 50.900507649208, -114.0952121282 50.900403998472, -114.095090295353 50.900294971348), (-114.095090295353 50.900294971348, -114.095059295459 50.900265907781, -114.09501869354 50.900228327742, -114.094916796328 50.900130719436, -114.094801696513 50.900012674097, -114.094732148662 50.899937757882, -114.094636213414 50.899829542629, -114.094514180889 50.899689292924), (-114.094514180889 50.899689292924, -114.094420527808 50.899572366169, -114.094314649131 50.899432858341), (-114.094314649131 50.899432858341, -114.094101849355 50.899137192923, -114.093973212561 50.898937585449, -114.093849376203 50.898709696044, -114.093725541055 50.898481806498, -114.093531309842 50.898051460843, -114.093426508531 50.897770265902, -114.093330481798 50.897464609341, -114.093281748563 50.897284224215, -114.093245895037 50.897129511307, -114.093217511044 50.89693944388, -114.093194313899 50.896766179938, -114.093176149735 50.896594629951, -114.093177182329 50.896473808495, -114.093185816443 50.896345462661, -114.093209692126 50.896190794624, -114.093242488777 50.896040951559, -114.09326011864 50.895993368873, -114.093308190711 50.895844318184, -114.09335506914 50.895734737972, -114.093399390736 50.895643261982, -114.093456463845 50.895540116678, -114.093590724522 50.895305272109, -114.093721222955 50.895071315908, -114.09376814674 50.894985898713, -114.09380364519 50.8949149888, -114.093831484889 50.894833614415, -114.093849622395 50.894734304745, -114.093863501609 50.894642326217, -114.093858856298 50.894544057017, -114.093842300487 50.894280960928))"
N/A,2018/10/30,,30,BOW TR SW RAMP,"MULTILINESTRING ((-114.116568850196 51.042010246052, -114.116730649736 51.041999762546, -114.11687704647 51.041993522095, -114.117031696858 51.04198733163, -114.117178601983 51.041980851165, -114.117314650527 51.041982052359, -114.117430121607 51.04198978624, -114.117544531254 51.042006885688, -114.11767102574 51.042046895799, -114.117743128404 51.042085462889, -114.117777357247 51.042114538082, -114.117810346551 51.042179438632, -114.117840603125 51.042282874654, -114.117859391767 51.042412628908))"
W,,8.89,60,32 AV NE,"MULTILINESTRING ((-113.930564483609 51.081584839565, -113.930610398046 51.081584754454, -113.930909472761 51.081584640313, -113.931120584775 51.081584764881, -113.931283084561 51.081584277076, -113.93138030703 51.081584917609, -113.931427321207 51.081584290746, -113.931629380991 51.081585063534, -113.931757621969 51.081584847194, -113.931827992642 51.081584888249, -113.93188169762 51.081584183298, -113.932040707244 51.081584144586, -113.932245220441 51.081583902802, -113.932364091458 51.081583971632, -113.932582279044 51.08158441499, -113.932738124762 51.08158424765, -113.932965155327 51.081584641442, -113.933207067018 51.081584215347, -113.933474821157 51.081584629611, -113.933696574743 51.081584476004, -113.933973454672 51.081584681245, -113.934076096427 51.081584186302, -113.934283719317 51.081584052379, -113.934483771666 51.081584410975, -113.934557117734 51.081583659164, -113.934672698754 51.081583950345, -113.934801220854 51.081583746106, -113.934976393687 51.081583547005, -113.93503257953 51.081583540484, -113.935096005048 51.08158388226, -113.935160924614 51.081583365417, -113.935197330144 51.081583938467, -113.935225743378 51.081583491244, -113.935323782074 51.081584261099, -113.935557744856 51.081583405924, -113.937252288917 51.081586150788, -113.938740988694 51.081584603891, -113.940237677491 51.081582192597, -113.940875251724 51.081581917158, -113.941023045004 51.081581873143, -113.942312154488 51.081583437776, -113.943601260505 51.08158322442, -113.944890367949 51.081582996849, -113.946179475391 51.081582755065, -113.946752378757 51.081581513425, -113.946930934411 51.081582180738, -113.947479622324 51.081577334962, -113.948104772559 51.081581009528, -113.948983222309 51.081581396156, -113.950061074018 51.081581861529, -113.951041919327 51.081582276382, -113.951753305248 51.081579176716, -113.952373456141 51.081578905995, -113.953004025507 51.081578678425, -113.953512680014 51.081579424762, -113.95383623556 51.0815776103, -113.9544600161 51.081578460845, -113.954899131912 51.081579259445, -113.955395833442 51.081578782068, -113.955878020384 51.081578306094, -113.956333642286 51.081578514013, -113.956829206308 51.081578046303, -113.957253958014 51.08157821496, -113.957445747327 51.081578258856, -113.957529770106 51.081578791033, -113.957615858817 51.08157691017, -113.9583082771 51.08157662965, -113.958499003386 51.081576405344, -113.958929682822 51.08157589759, -113.959722071548 51.081575928745, -113.960152445549 51.081575416381, -113.960971968412 51.081575077037, -113.961494740888 51.081574012504, -113.962263090743 51.081573013472, -113.962808458961 51.08157317385, -113.962992710455 51.081572411561, -113.963666412646 51.08157180751, -113.964022418779 51.081570655456, -113.96448938583 51.081572173644, -113.96500603659 51.081571585084, -113.965658807035 51.081569679558, -113.966027219713 51.081570465914, -113.96647512192 51.081570610492, -113.966901201911 51.081569326809, -113.967479969805 51.081568785339, -113.968481654451 51.081565585164, -113.969362146438 51.081565833604, -113.969813226891 51.081563908489, -113.969855780969 51.081562618663, -113.969915343482 51.081560467493, -113.970088704953 51.081558046107, -113.970202491528 51.081559285174, -113.970392452746 51.081563465989, -113.970756692222 51.081562166062, -113.971974840925 51.081560670972, -113.972474494997 51.081560075897, -113.972737473972 51.081560403611, -113.972955605549 51.081559422258, -113.973144171309 51.081558518214, -113.974391953117 51.081558806273, -113.975671213512 51.081555668797, -113.977376669276 51.081550396302, -113.977650094979 51.081551374829, -113.978154636197 51.081552513894, -113.978382023675 51.081550030961, -113.97950439913 51.081550338289, -113.979803962234 51.081545404746, -113.980087266122 51.081541769373, -113.980847580589 51.081542591301, -113.981072329423 51.081542549693, -113.981395199046 51.08153952705, -113.981482568305 51.081541290312, -113.981691088936 51.081543782728, -113.981748341986 51.081544466805, -113.981909013328 51.081546386801, -113.982325996722 51.08154997004, -113.982657419638 51.081550368472, -113.982988843987 51.081550766864, -113.983320266915 51.081551163417, -113.983651691276 51.081551559031, -113.984247752275 51.081546156259, -113.984879377309 51.081549735741, -113.985483149922 51.081551373776, -113.985903905605 51.081550607204, -113.986854499306 51.08155238284, -113.98700416932 51.081551890757, -113.987184195816 51.08154600711, -113.987326790977 51.081541122382, -113.987472470392 51.081541084145, -113.987696407294 51.081545834697, -113.987992752121 51.081548261257, -113.988653746787 51.081549755735, -113.990029986458 51.08154750163, -113.990864179191 51.081537424044, -113.991389983606 51.081550197826, -113.991820144096 51.081551097116, -113.993017881978 51.081546385981, -113.994365859692 51.081546961236, -113.994819089173 51.081549679102, -113.995077006059 51.081549293802, -113.995334921514 51.081548907934, -113.995592838391 51.081548521496, -113.995850755264 51.081548134489, -113.996444599472 51.08154685415, -113.996659989139 51.081541695932, -113.996787577763 51.081536940373, -113.997152871208 51.081531877865, -113.997401332567 51.081535940692, -113.997542137797 51.08154143553, -113.997813043287 51.081545710109, -113.998197136896 51.081546304588, -113.998897969152 51.081546991116, -113.999598802856 51.081547672544, -114.00029963658 51.08154835067, -114.001000468897 51.081549023696, -114.001538558247 51.081549024146, -114.001870158272 51.081548974363, -114.001873313798 51.081548974313, -114.002084351602 51.081549264703, -114.002295389408 51.081549554713, -114.002506425789 51.081549844341, -114.002717463601 51.081550133589, -114.003053368003 51.081549360277, -114.003389272394 51.081548586, -114.003725175347 51.08154780986, -114.004061079715 51.081547033653, -114.004316516028 51.081546457252, -114.004571952334 51.081545880294, -114.004827388634 51.081545301878, -114.005082824928 51.081544723803, -114.006562229527 51.081540542742, -114.008041632429 51.08153634296, -114.009521036487 51.081532123559, -114.011000438847 51.081527886337, -114.011542459221 51.081531006538, -114.011712134888 51.081534516313, -114.012247813556 51.081545382081, -114.01261907062 51.081543974369, -114.013102245177 51.081536836455, -114.01442089545 51.081537377039, -114.015341414129 51.081537385726, -114.016303929359 51.081537226694, -114.017219090602 51.081541754838, -114.017603427514 51.081543562958, -114.018231900735 51.081539232502, -114.018643602358 51.081540226558, -114.019055303998 51.081541218266, -114.019631686267 51.081541122901, -114.020208067105 51.081541024695, -114.020705469882 51.081540937662, -114.020838221754 51.081540914975, -114.021354948733 51.081540820833, -114.021871677137 51.081540725307, -114.022194315729 51.081540664503, -114.022446375081 51.081534265174, -114.022782455713 51.081529966029, -114.02314878422 51.08152566083, -114.023555443009 51.081525579604, -114.023883942604 51.081524790186, -114.024189071914 51.081540461185, -114.02434305422 51.081539482611, -114.025094754427 51.081539437847, -114.02571338645 51.081527478403, -114.02615980276 51.081522645403, -114.027126773784 51.081520772736, -114.027233509714 51.081523908692, -114.027365895396 51.081527405328, -114.02775105618 51.081538921109, -114.028188530694 51.081538247402, -114.028753541682 51.0815368971, -114.028926330757 51.081537107985, -114.029630010486 51.081537615878, -114.030114180275 51.081537530824, -114.030704082762 51.08153814241, -114.031115791846 51.081539225591, -114.031383832234 51.081529427115, -114.03181165998 51.081530503518, -114.032129811553 51.081536849529, -114.032342334363 51.081535930618, -114.032953130472 51.081539844063, -114.033817360716 51.081541836603, -114.034196765214 51.081542709713, -114.0343631291 51.081544834637, -114.034568951017 51.081547463671, -114.034877075236 51.081557098988, -114.035265034771 51.081560226983, -114.035472026149 51.081559736455, -114.035679017523 51.08155924556, -114.035886007464 51.081558754299, -114.036092998828 51.081558262672, -114.036429875063 51.081552542335, -114.036658066816 51.081549547565, -114.036774134218 51.081548782051, -114.037007565626 51.081548160023, -114.037164055429 51.081547378623, -114.037317387436 51.081547329782, -114.037475050997 51.081547306319, -114.037567999611 51.081546974435, -114.037878025306 51.081547664595, -114.03818805101 51.081548353932, -114.038498075296 51.081549042447, -114.038808101017 51.08154973014, -114.039294305809 51.081547611583, -114.039746361036 51.081544272831, -114.040247604973 51.081538256262, -114.040562624136 51.081540271651, -114.040828961275 51.08154176562, -114.041154660162 51.081545368655, -114.041532109209 51.081550611005, -114.042272764204 51.081550186429, -114.042547624489 51.081557716261, -114.04278273153 51.081569619994, -114.043020262512 51.081591233012, -114.043175858304 51.081609704276, -114.043364311126 51.081643421328, -114.043509546627 51.081674974171, -114.043668621116 51.081716331201, -114.043817330204 51.081765320538, -114.043989640638 51.081834729848, -114.044188526674 51.081931655249, -114.044369547748 51.082031574361, -114.044513345065 51.082128534483, -114.044658658419 51.082238558544, -114.044798788056 51.082350763506, -114.044956239743 51.082498929329, -114.045085616291 51.082626834049, -114.045218868631 51.082773918394, -114.045357319754 51.082934078745, -114.045487134873 51.083100782276, -114.045587081107 51.083239499867, -114.045682302711 51.083384419395, -114.045772341492 51.083532609515, -114.045857202082 51.083687341581, -114.045927989242 51.08383801488, -114.045997286499 51.083988392958, -114.046061411911 51.084151852103, -114.046118630194 51.08432294257, -114.04616545494 51.084492126803, -114.046201920029 51.084653416781, -114.046231475222 51.084821248563, -114.04624858577 51.084973107013, -114.046259265383 51.085181161538, -114.046263098477 51.085558264126, -114.046254824787 51.085910796419, -114.04624809666 51.086097171118, -114.046251678659 51.08622250727, -114.046258599649 51.08632107356, -114.046279460242 51.086435503794, -114.046298560528 51.086519418389, -114.046336700666 51.086625123584, -114.046378272957 51.086705758813, -114.04643850421 51.086801073039, -114.046504290382 51.086891508127, -114.046578714339 51.086975399752, -114.046656583911 51.087046212683, -114.046702021294 51.087084601102, -114.04681188267 51.087170828314, -114.046958940309 51.087275399188, -114.047128480995 51.087385410352, -114.047419122552 51.087574934368, -114.048423529655 51.088217318935, -114.048822363644 51.088470845049, -114.049060089595 51.088623132963, -114.049527544075 51.088922379844, -114.04968332275 51.089020883634))"
